"fad_id","section","fad_class","id_point","time","geom","lon","lat"
16,1,"W",455359,2008-09-18 21:00:00,"POINT(4.42717 -5.39683)",4.42717,-5.39683
16,1,"W",455359,2008-09-18 21:00:00,"POINT(4.42717 -5.39683)",4.42717,-5.39683
16,1,"W",455359,2008-09-18 21:00:00,"POINT(4.42717 -5.39683)",4.42717,-5.39683
16,1,"W",148615,2008-12-14 21:00:00,"POINT(4.74917 -6.35467)",4.74917,-6.35467
16,1,"W",148615,2008-12-14 21:00:00,"POINT(4.74917 -6.35467)",4.74917,-6.35467
16,1,"W",148615,2008-12-14 21:00:00,"POINT(4.74917 -6.35467)",4.74917,-6.35467
16,1,"W",148248,2008-12-11 21:00:00,"POINT(4.89667 -6.2025)",4.89667,-6.2025
16,1,"W",148248,2008-12-11 21:00:00,"POINT(4.89667 -6.2025)",4.89667,-6.2025
16,1,"W",148248,2008-12-11 21:00:00,"POINT(4.89667 -6.2025)",4.89667,-6.2025
16,2,"W",149895,2008-12-30 21:00:00,"POINT(3.67883 -6.73467)",3.67883,-6.73467
16,2,"W",149895,2008-12-30 21:00:00,"POINT(3.67883 -6.73467)",3.67883,-6.73467
16,2,"W",149895,2008-12-30 21:00:00,"POINT(3.67883 -6.73467)",3.67883,-6.73467
16,1,"W",469185,2008-09-03 21:00:00,"POINT(4.97083 -4.51217)",4.97083,-4.51217
16,1,"W",469185,2008-09-03 21:00:00,"POINT(4.97083 -4.51217)",4.97083,-4.51217
16,1,"W",469185,2008-09-03 21:00:00,"POINT(4.97083 -4.51217)",4.97083,-4.51217
16,2,"W",85817,2009-01-01 21:00:00,"POINT(3.66583 -6.6)",3.66583,-6.6
16,2,"W",85817,2009-01-01 21:00:00,"POINT(3.66583 -6.6)",3.66583,-6.6
16,2,"W",85817,2009-01-01 21:00:00,"POINT(3.66583 -6.6)",3.66583,-6.6
16,1,"W",146788,2008-12-13 21:00:00,"POINT(4.87 -6.30083)",4.87,-6.30083
16,1,"W",146788,2008-12-13 21:00:00,"POINT(4.87 -6.30083)",4.87,-6.30083
16,1,"W",146788,2008-12-13 21:00:00,"POINT(4.87 -6.30083)",4.87,-6.30083
16,1,"W",478582,2008-09-22 21:00:00,"POINT(4.385 -5.56267)",4.385,-5.56267
16,1,"W",478582,2008-09-22 21:00:00,"POINT(4.385 -5.56267)",4.385,-5.56267
16,1,"W",478582,2008-09-22 21:00:00,"POINT(4.385 -5.56267)",4.385,-5.56267
16,1,"W",458686,2008-10-04 21:00:00,"POINT(4.27883 -5.6205)",4.27883,-5.6205
16,1,"W",458686,2008-10-04 21:00:00,"POINT(4.27883 -5.6205)",4.27883,-5.6205
16,1,"W",458686,2008-10-04 21:00:00,"POINT(4.27883 -5.6205)",4.27883,-5.6205
16,1,"W",153973,2008-11-25 21:00:00,"POINT(4.88833 -5.24933)",4.88833,-5.24933
16,1,"W",153973,2008-11-25 21:00:00,"POINT(4.88833 -5.24933)",4.88833,-5.24933
16,1,"W",153973,2008-11-25 21:00:00,"POINT(4.88833 -5.24933)",4.88833,-5.24933
16,1,"W",147015,2008-12-15 21:00:00,"POINT(4.69833 -6.5035)",4.69833,-6.5035
16,1,"W",147015,2008-12-15 21:00:00,"POINT(4.69833 -6.5035)",4.69833,-6.5035
16,1,"W",147015,2008-12-15 21:00:00,"POINT(4.69833 -6.5035)",4.69833,-6.5035
